絆,绊
絎,绗
絏,绁
結,结
絕,绝
絛,绦
絝,绔
絞,绞
絡,络
絢,绚
給,给
絨,绒
絪,𬘡
絰,绖
統,统
絲,丝
絳,绛
絶,绝
絹,绢
絺,𫄨
綀,𦈌
綁,绑
綃,绡
綄,𬘫
綆,绠
綇,𦈋
綈,绨
綉,绣
綌,绤
綎,𬘩
綏,绥
綐,䌼
綑,捆
經,经
綖,𫄧
綜,综
綝,𬘭
綞,缍
綠,绿
綡,𫟅
綢,绸
綣,绻
綧,𬘯
綪,𬘬
綫,线
綬,绶
維,维
綯,绹
綰,绾
綱,纲
網,网
綴,缀
綵,彩
綸,纶
綹,绺
綺,绮
綻,绽
綽,绰
綾,绫
綿,绵
緄,绲
緇,缁
緊,紧
緋,绯
緍,𦈏
緐,繁
緑,绿
緒,绪
緓,绬
緔,绱
緗,缃
緘,缄
緙,缂
線,线
緜,绵
緝,缉
緞,缎
締,缔
緡,缗
緣,缘
緥,褓
緦,缌
編,编
緩,缓
緬,缅
緯,纬
緰,𦈕
緱,缑
緲,缈
練,练
緶,缏
緷,𦈉
緸,𦈑
緹,缇
緻,致
緼,缊
縈,萦
縉,缙
縊,缢
縋,缒
縎,𦈔
縐,绉
縑,缣
縕,缊
縗,缞
縛,缚
縝,缜
縞,缟
縟,缛
縣,县
縧,绦
縫,缝
縬,𦈚
縭,缡
縮,缩
縯,𬙂
縱,纵
縲,缧
縳,䌸
縴,纤
縵,缦
縶,絷
縷,缕
縹,缥
縺,𦈐
總,总
績,绩
繃,绷
繅,缫
繆,缪
繏,𦈝
繐,穗
繒,缯
繓,𦈛
織,织
繕,缮
繖,伞
繙,翻
繚,缭
繞,绕
繟,𦈎
繡,绣
繢,缋
繦,襁
繩,绳
繪,绘
繫,系
繭,茧
繮,缰
繯,缳
繰,缲
繳,缴
繶,𫄷
繸,䍁
繹,绎
繻,𦈡
繼,继
繽,缤
繾,缱
繿,䍀
纁,𫄸
纆,𬙊
纇,颣
纈,缬
纊,纩
續,续
纍,累
纏,缠
纓,缨
纔,才
纕,𬙋
纖,纤
纘,缵
纜,缆
缽,钵
罇,樽
罈,坛
罋,瓮
罌,罂
